source,name,open,location,genre,city,state,year_opened,the_geom,year_closed,audience,notes,known_open_date,approved,location_confirmed,date_confirmed,cartodb_id,created_at,updated_at
Pink Pages Winter Spring 1994,LaFleur,false,360 West 42 St,-73.99144167,New York,NY,1994,0101000020E61000000000804C837F52C0F86895C909614440,,,,,true,true,false,500,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Unknown,Les Hommes,false,217 West 80 St,-73.97856143,New York,NY,,0101000020E61000000000606BA37E52C0FF05315466644440,,,,,true,true,false,501,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Guide 1970,Lighthouse,false,2160 Broadway,-73.98101757,New York,NY,1970,0101000020E610000000000015C37E52C0CC678B1D0F644440,,,,,true,true,false,502,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,Leather Loft,false,313 Amsterdam Av,-73.98036807,New York,NY,1980,0101000020E61000000000C04DBB7E52C01C61A4F6DF634440,,,,,true,true,false,503,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,Main Man,false,305 Columbus Av,-73.97767126,New York,NY,1980,0101000020E6100000000000598E7E52C0241CA9C5B3634440,,,,,true,true,false,504,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,Les Nuages,false,1463 Third Av,-73.955586,New York,NY,1980,0101000020E61000000000C0B8247D52C07F58557865634440,,,,,true,true,false,505,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Gay and Lesbian Yellow Pages 2000-2001,Liquids,false,226 East 10 St,-73.98536944,New York,NY,2000,0101000020E610000000000089127F52C095D43C7E525D4440,,,,,true,true,false,506,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,Last Call,false,975 Second Av,-73.96779263,New York,NY,1980,0101000020E61000000000007CF37D52C01B73EBBFC3604440,,,,,true,true,false,507,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
1969 Gay Scene Guide,Leather Land,false,131 MacDougal St,-73.99991701,New York,NY,1969,0101000020E61000000000A090008052C042EA203E875D4440,,,Leather,,true,true,false,508,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,Le Bristoquet,false,90 Bedford St,-74.00531487,New York,NY,1980,0101000020E6100000000040D7558052C0295EB1FDBB5D4440,,,,,true,true,false,509,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
